0.0032,-0.0478,0.7176
0.0031,-0.0471,0.7088
0.0028,-0.0435,0.6701
0.0026,-0.0415,0.6516
0.0020,-0.0367,0.6142
0.0016,-0.0330,0.5905
-0.0008,-0.0176,0.5093
-0.0047,0.0045,0.4162
-0.0049,0.0055,0.4128
-0.0210,0.0691,0.2588
-0.0485,0.1579,0.1081
-0.1599,0.4376,-0.1944
-0.3286,0.7473,-0.3684
-0.9789,1.5006,-0.4478
-2.7378,2.1566,-0.0389
-1.9845,2.8430,0.0033
-1.9165,3.4406,0.5352
-2.0661,3.5431,1.8412
-2.0161,3.5487,1.0305
-2.0195,3.5474,1.1258
-2.0171,3.5486,1.0177
-2.0170,3.5487,1.0122
-2.0174,3.5484,1.0505
-2.0174,3.5484,1.0530
-2.0172,3.5485,1.0215
-2.0172,3.5486,1.0151
-2.0173,3.5485,1.0388
-2.0173,3.5485,1.0305
-2.0173,3.5485,1.0385
-2.0173,3.5485,1.0267
-2.0172,3.5485,1.0227
